po_id,sku_code,item_name,quantity,unit_price,gross_amount,input_gst_rate,igst_amount,total_payable,po_date,department,approval_status
PO-2026-8001,SKU-EL-440,Dell U2723QE 4K Monitor,3,45000.0,135000.0,0.18,24300.0,159300.0,2026-03-01,IT Infra,PENDING
PO-2026-8002,SKU-EL-441,HP EliteBook 840 G9 Laptop,1,85000.0,85000.0,0.18,15300.0,100300.0,2026-03-02,IT Infra,PENDING
PO-2026-8003,SKU-EL-442,Cisco IP Phone 8851,2,18000.0,36000.0,0.18,6480.0,42480.0,2026-03-03,IT Infra,PENDING
PO-2026-8004,SKU-EL-443,Logitech MX Keys Keyboard,7,8500.0,60000.0,0.18,10800.0,70800.0,2026-03-04,IT Infra,APPROVED
PO-2026-8005,SKU-FN-221,Ergonomic Office Chair (Herman Miller),2,35000.0,70500.0,0.18,12690.0,83190.0,2026-03-05,Facilities,APPROVED
PO-2026-8006,SKU-FN-222,Electric Standing Desk,2,25000.0,50500.0,0.18,9090.0,59590.0,2026-03-06,Facilities,APPROVED
PO-2026-8007,SKU-FN-223,4-Drawer Filing Cabinet,3,12000.0,36000.0,0.18,6480.0,42480.0,2026-03-07,Admin,APPROVED
PO-2026-8008,SKU-ST-101,A4 Copy Paper (10 Reams),43,450.0,19350.0,0.12,2322.0,21672.0,2026-03-08,Admin,APPROVED
PO-2026-8009,SKU-ST-102,Whiteboard Markers Set (10 Pack),23,350.0,8050.0,0.12,966.0,9016.0,2026-03-09,Admin,APPROVED
PO-2026-8010,SKU-AC-301,Daikin 1.5T 5-Star Split AC,1,42000.0,42000.0,0.28,11760.0,53760.0,2026-03-10,Facilities,APPROVED
PO-2026-8011,SKU-EL-440,Dell U2723QE 4K Monitor,3,45000.0,135000.0,0.18,24300.0,159300.0,2026-03-11,IT Infra,APPROVED
PO-2026-8012,SKU-EL-441,HP EliteBook 840 G9 Laptop,2,85000.0,170000.0,0.18,30600.0,200600.0,2026-03-12,IT Infra,APPROVED
PO-2026-8013,SKU-EL-442,Cisco IP Phone 8851,2,18000.0,36000.0,0.18,6480.0,42480.0,2026-03-13,IT Infra,APPROVED
PO-2026-8014,SKU-EL-443,Logitech MX Keys Keyboard,3,8500.0,25500.0,0.18,4590.0,30090.0,2026-03-14,IT Infra,APPROVED
PO-2026-8015,SKU-FN-221,Ergonomic Office Chair (Herman Miller),1,35000.0,35000.0,0.18,6300.0,41300.0,2026-03-15,Facilities,APPROVED
PO-2026-8016,SKU-FN-222,Electric Standing Desk,2,25000.0,50000.0,0.18,9000.0,59000.0,2026-03-16,Facilities,APPROVED
PO-2026-8017,SKU-FN-223,4-Drawer Filing Cabinet,3,12000.0,36000.0,0.18,6480.0,42480.0,2026-03-17,Admin,APPROVED
PO-2026-8018,SKU-ST-101,A4 Copy Paper (10 Reams),36,450.0,16200.0,0.12,1944.0,18144.0,2026-03-18,Admin,APPROVED
PO-2026-8019,SKU-ST-102,Whiteboard Markers Set (10 Pack),39,350.0,13650.0,0.12,1638.0,15288.0,2026-03-19,Admin,APPROVED
PO-2026-8020,SKU-AC-301,Daikin 1.5T 5-Star Split AC,1,42000.0,42000.0,0.28,11760.0,53760.0,2026-03-20,Facilities,APPROVED
PO-2026-8021,SKU-EL-440,Dell U2723QE 4K Monitor,3,45000.0,135000.0,0.18,24300.0,159300.0,2026-03-21,IT Infra,APPROVED
PO-2026-8022,SKU-EL-441,HP EliteBook 840 G9 Laptop,1,85000.0,85000.0,0.18,15300.0,100300.0,2026-03-22,IT Infra,APPROVED
PO-2026-8023,SKU-EL-442,Cisco IP Phone 8851,7,18000.0,126000.0,0.18,22680.0,148680.0,2026-03-23,IT Infra,APPROVED
PO-2026-8024,SKU-EL-443,Logitech MX Keys Keyboard,9,8500.0,76500.0,0.18,13770.0,90270.0,2026-03-24,IT Infra,APPROVED
PO-2026-8025,SKU-FN-221,Ergonomic Office Chair (Herman Miller),2,35000.0,70000.0,0.18,12600.0,82600.0,2026-03-25,Facilities,APPROVED
PO-2026-8026,SKU-FN-222,Electric Standing Desk,4,25000.0,100000.0,0.18,18000.0,118000.0,2026-03-01,Facilities,APPROVED
PO-2026-8027,SKU-FN-223,4-Drawer Filing Cabinet,6,12000.0,72000.0,0.18,12960.0,84960.0,2026-03-02,Admin,APPROVED
PO-2026-8028,SKU-ST-101,A4 Copy Paper (10 Reams),28,450.0,12600.0,0.12,1512.0,14112.0,2026-03-03,Admin,APPROVED
PO-2026-8029,SKU-ST-102,Whiteboard Markers Set (10 Pack),45,350.0,15750.0,0.12,1890.0,17640.0,2026-03-04,Admin,APPROVED
PO-2026-8030,SKU-AC-301,Daikin 1.5T 5-Star Split AC,1,42000.0,42000.0,0.28,11760.0,53760.0,2026-03-05,Facilities,APPROVED
PO-2026-8031,SKU-EL-440,Dell U2723QE 4K Monitor,1,45000.0,45000.0,0.18,8100.0,53100.0,2026-03-06,IT Infra,APPROVED
PO-2026-8032,SKU-EL-441,HP EliteBook 840 G9 Laptop,2,85000.0,170000.0,0.18,30600.0,200600.0,2026-03-07,IT Infra,APPROVED
PO-2026-8033,SKU-EL-442,Cisco IP Phone 8851,4,18000.0,72000.0,0.18,12960.0,84960.0,2026-03-08,IT Infra,APPROVED
PO-2026-8034,SKU-EL-443,Logitech MX Keys Keyboard,7,8500.0,59500.0,0.18,10710.0,70210.0,2026-03-09,IT Infra,APPROVED
PO-2026-8035,SKU-FN-221,Ergonomic Office Chair (Herman Miller),2,35000.0,70000.0,0.18,12600.0,82600.0,2026-03-10,Facilities,APPROVED
PO-2026-8036,SKU-FN-222,Electric Standing Desk,2,25000.0,50000.0,0.18,9000.0,59000.0,2026-03-11,Facilities,APPROVED
PO-2026-8037,SKU-FN-223,4-Drawer Filing Cabinet,4,12000.0,48000.0,0.18,8640.0,56640.0,2026-03-12,Admin,APPROVED
PO-2026-8038,SKU-ST-101,A4 Copy Paper (10 Reams),23,450.0,10350.0,0.12,1242.0,11592.0,2026-03-13,Admin,APPROVED
PO-2026-8039,SKU-ST-102,Whiteboard Markers Set (10 Pack),22,350.0,7700.0,0.12,924.0,8624.0,2026-03-14,Admin,APPROVED
PO-2026-8040,SKU-AC-301,Daikin 1.5T 5-Star Split AC,2,42000.0,84000.0,0.28,23520.0,107520.0,2026-03-15,Facilities,APPROVED
PO-2026-8041,SKU-EL-440,Dell U2723QE 4K Monitor,1,45000.0,45000.0,0.18,8100.0,53100.0,2026-03-16,IT Infra,APPROVED
